Project Name,user/repo,Function coverage %,# dependencies,# commit,last commit,default branch,entry file,Module system,readme,test reporting,git url
generator-angular-eggs,albatrosary/generator-angular-eggs,100,739,172,2016-06-16,master,https://raw.githubusercontent.com/albatrosary/generator-angular-eggs/master/app/index.js,CommonJS,https://raw.githubusercontent.com/albatrosary/generator-angular-eggs/master/readme.md,coveralls.io,https://github.com/albatrosary/generator-angular-eggs.git
eslint-config-frost-standard,ciena-frost/eslint-config-frost-standard,100,306,172,2019-02-27,master,https://raw.githubusercontent.com/ciena-frost/eslint-config-frost-standard/master/index.js,CommonJS,https://raw.githubusercontent.com/ciena-frost/eslint-config-frost-standard/master/README.md,coveralls.io,https://github.com/ciena-frost/eslint-config-frost-standard.git
generator-ajsweb,yadickson/generator-ajsweb,100,404,164,2019-01-15,master,https://raw.githubusercontent.com/yadickson/generator-ajsweb/master/generators/app/index.js,CommonJS,https://raw.githubusercontent.com/yadickson/generator-ajsweb/master/README.md,coveralls.io,https://github.com/yadickson/generator-ajsweb.git
generator-ngbp-module,jfmbrennan/generator-ngbp-module,100,418,152,2015-09-03,master,https://raw.githubusercontent.com/jfmbrennan/generator-ngbp-module/master/app/index.js,CommonJS,https://raw.githubusercontent.com/jfmbrennan/generator-ngbp-module/master/README.md,coveralls.io,https://github.com/jfmbrennan/generator-ngbp-module.git
bsv-mnemonic,moneybutton/bsv-mnemonic,100,379,152,2019-01-26,master,https://raw.githubusercontent.com/moneybutton/bsv-mnemonic/master/index.js,CommonJS,https://raw.githubusercontent.com/moneybutton/bsv-mnemonic/master/README.md,coveralls.io,https://github.com/moneybutton/bsv-mnemonic.git
relivestyle,alexjeffburke/relivestyle,100,570,138,2021-10-27,master,https://raw.githubusercontent.com/alexjeffburke/relivestyle/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/alexjeffburke/relivestyle/master/README.md,coveralls.io,https://github.com/alexjeffburke/relivestyle.git
generator-polymerx,polymerx/generator-polymerx,100,412,120,2018-05-09,master,https://raw.githubusercontent.com/polymerx/generator-polymerx/master/generators/app/index.js,CommonJS,https://raw.githubusercontent.com/polymerx/generator-polymerx/master/README.md,codecov.io,https://github.com/polymerx/generator-polymerx.git
generator-nude,darlanmendonca/generator-nude,100,712,103,2017-04-20,master,https://raw.githubusercontent.com/darlanmendonca/generator-nude/master/app/index.js,CommonJS,https://raw.githubusercontent.com/darlanmendonca/generator-nude/master/README.md,coveralls.io,https://github.com/darlanmendonca/generator-nude.git
easywebpack-vue-build-script,hubcarl/easywebpack-vue,100,1192,100,2021-11-30,master,https://raw.githubusercontent.com/hubcarl/easywebpack-vue/master/index.js,CommonJS,https://raw.githubusercontent.com/hubcarl/easywebpack-vue/master/README.md,codecov.io,https://github.com/hubcarl/easywebpack-vue.git
fastify-axios,davidedantonio/fastify-axios,100,369,92,2022-10-13,master,https://raw.githubusercontent.com/davidedantonio/fastify-axios/master/index.js,CommonJS,https://raw.githubusercontent.com/davidedantonio/fastify-axios/master/README.md,codecov.io,https://github.com/davidedantonio/fastify-axios.git
brisky,vigour-io/brisky,100,514,90,2017-05-17,master,https://raw.githubusercontent.com/vigour-io/brisky/master/index.js,CommonJS,https://raw.githubusercontent.com/vigour-io/brisky/master/README.md,coveralls.io,https://github.com/vigour-io/brisky.git
brisky-class,vigour-io/brisky-class,100,506,89,2017-02-21,master,https://raw.githubusercontent.com/vigour-io/brisky-class/master/index.js,CommonJS,https://raw.githubusercontent.com/vigour-io/brisky-class/master/README.md,coveralls.io,https://github.com/vigour-io/brisky-class.git
eslint-plugin-ocd,ciena-blueplanet/eslint-plugin-ocd,100,302,89,2018-09-11,master,https://raw.githubusercontent.com/ciena-blueplanet/eslint-plugin-ocd/master/index.js,CommonJS,https://raw.githubusercontent.com/ciena-blueplanet/eslint-plugin-ocd/master/README.md,coveralls.io,https://github.com/ciena-blueplanet/eslint-plugin-ocd.git
markdown-resume,c0bra/markdown-resume-js,100,635,84,2018-04-09,master,https://raw.githubusercontent.com/c0bra/markdown-resume-js/master/src/markdown-resume.js,CommonJS,https://raw.githubusercontent.com/c0bra/markdown-resume-js/master/README.md,coveralls.io,https://github.com/c0bra/markdown-resume-js.git
brisky-focus,vigour-io/brisky-focus,100,564,66,2016-09-16,master,https://raw.githubusercontent.com/vigour-io/brisky-focus/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/vigour-io/brisky-focus/master/README.md,coveralls.io,https://github.com/vigour-io/brisky-focus.git
podcast-search,Gleider/podcast-search,100,462,64,2018-07-11,master,https://raw.githubusercontent.com/Gleider/podcast-search/master/lib/search.js,CommonJS,https://raw.githubusercontent.com/Gleider/podcast-search/master/README.md,coveralls.io,https://github.com/Gleider/podcast-search.git
generator-genjutsu,adelonzeta/genjutsu,100,396,61,2017-11-17,master,https://raw.githubusercontent.com/adelonzeta/genjutsu/master/app/index.js,CommonJS,https://raw.githubusercontent.com/adelonzeta/genjutsu/master/README.md,codecov.io,https://github.com/adelonzeta/genjutsu.git
brisky-style,vigour-io/brisky-style,100,506,60,2016-10-16,master,https://raw.githubusercontent.com/vigour-io/brisky-style/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/vigour-io/brisky-style/master/README.md,coveralls.io,https://github.com/vigour-io/brisky-style.git
