easywebpack-vue-build-script,hubcarl/easywebpack-vue,1192,100,2021-11-30,master,https://raw.githubusercontent.com/hubcarl/easywebpack-vue/master/index.js, CommonJS,https://raw.githubusercontent.com/hubcarl/easywebpack-vue/master/README.md,codecov.io,https://github.com/hubcarl/easywebpack-vue.git
easywebpack-html,hubcarl/easywebpack-html,1099,16,2018-10-18,master,https://raw.githubusercontent.com/hubcarl/easywebpack-html/master/index.js, CommonJS,https://raw.githubusercontent.com/hubcarl/easywebpack-html/master/README.md,codecov.io,https://github.com/hubcarl/easywebpack-html.git
easywebpack-js,hubcarl/easywebpack-js,1091,16,2020-02-22,master,https://raw.githubusercontent.com/hubcarl/easywebpack-js/master/index.js, CommonJS,https://raw.githubusercontent.com/hubcarl/easywebpack-js/master/README.md,codecov.io,https://github.com/hubcarl/easywebpack-js.git
umdlib,jclo/umdlib,1075,50,2019-04-12,master,https://raw.githubusercontent.com/jclo/umdlib/master/index.js, CommonJS,https://raw.githubusercontent.com/jclo/umdlib/master/README.md,coveralls.io,https://github.com/jclo/umdlib.git
apc-build,APCOvernight/apc-build,975,176,2021-04-15,master,https://raw.githubusercontent.com/APCOvernight/apc-build/master/index.js, CommonJS,https://raw.githubusercontent.com/APCOvernight/apc-build/master/README.md,coveralls.io,https://github.com/APCOvernight/apc-build.git
hoodie-server,hoodiehq/hoodie-server,814,1133,2017-10-14,master,https://raw.githubusercontent.com/hoodiehq/hoodie-server/master/index.js, CommonJS,https://raw.githubusercontent.com/hoodiehq/hoodie-server/master/README.md,coveralls.io,https://github.com/hoodiehq/hoodie-server.git
roe-scripts,kaelzhang/roe-scripts,810,242,2019-09-22,master,https://raw.githubusercontent.com/kaelzhang/roe-scripts/master/src/index.js, CommonJS,https://raw.githubusercontent.com/kaelzhang/roe-scripts/master/README.md,codecov.io,https://github.com/kaelzhang/roe-scripts.git
viseo-custom-phonegap,phonegap/phonegap-cli,801,1177,2019-10-10,master,https://raw.githubusercontent.com/phonegap/phonegap-cli/master/lib/main.js, CommonJS,https://raw.githubusercontent.com/phonegap/phonegap-cli/master/README.md,codecov.io,https://github.com/phonegap/phonegap-cli.git
hoodie-client,hoodiehq/hoodie-client,779,188,2019-11-18,master,https://raw.githubusercontent.com/hoodiehq/hoodie-client/master/index.js, CommonJS,https://raw.githubusercontent.com/hoodiehq/hoodie-client/master/README.md,coveralls.io,https://github.com/hoodiehq/hoodie-client.git
node-mus,whxaxes/mus,759,155,2019-10-16,master,https://raw.githubusercontent.com/whxaxes/mus/master/lib/index.js, CommonJS,https://raw.githubusercontent.com/whxaxes/mus/master/README.md,coveralls.io,https://github.com/whxaxes/mus.git
